Product_Code,ProductName,Description,New Item Description
PFDSG0300,Fiama Scents J&G 250ml_PFDSG0300,Fiama Scents J&G 250ml_PFDSG0300,
PFDSG0311,Fiama Scents SG M&N 100ml+Loofah_PFDSG0311,Fiama Scents SG M&N 100ml+Loofah_PFDSG0311,
PFDSG0312,Fiama Scents SG J&G 100ml+Loofah_PFDSG0312,Fiama Scents SG J&G 100ml+Loofah_PFDSG0312,
PFDSG0322,Fiama L&J 250ml+185ml PchFre Promo_PFDSG0322,Fiama L&J 250ml+185ml PchFre Promo_PFDSG0322,
PFDSO0336,FIAMA GBB S&Lg(CS) 125g_PFDSO0336,FIAMA GBB S&Lg(CS) 125g_PFDSO0336,
PFDSO0337,FIAMA GBB P&A(MD) 125g_PFDSO0337,FIAMA GBB P&A(MD) 125g_PFDSO0337,
PFDSO0338,FIAMA GBB B&B(ED) 125g_PFDSO0338,FIAMA GBB B&B(ED) 125g_PFDSO0338,
PFDSO0339,FIAMA GBB P&M(LF) 125g_PFDSO0339,FIAMA GBB P&M(LF) 125g_PFDSO0339,
PFDSO0342,FIAMA Men GBB ES 125g_PFDSO0342,FIAMA Men GBB ES 125g_PFDSO0342,
PFDSO0343,FIAMA Men GBB RP 125g_PFDSO0343,FIAMA Men GBB RP 125g_PFDSO0343,
PFDSO0344,FIAMA GBB S&Lg(CS) 125gx3_PFDSO0344,FIAMA GBB S&Lg(CS) 125gx3_PFDSO0344,
PFDSO0345,FIAMA GBB P&A(MD) 125gx3_PFDSO0345,FIAMA GBB P&A(MD) 125gx3_PFDSO0345,
PFDSO0346,FIAMA GBB B&B(ED) 125gx3_PFDSO0346,FIAMA GBB B&B(ED) 125gx3_PFDSO0346,
PFDSO0366,FIAMA GBB 100gx6 MV (33% Ex)-Disp_PFDSO0366,FIAMA GBB 100gx6 MV (33% Ex)-Disp_PFDSO0366,
PFDSO0367,FIAMA Men GBB ES 125gx3+1_PFDSO0367,FIAMA Men GBB ES 125gx3+1_PFDSO0367,
PFDSO0368,FIAMA Men GBB RP 125gX3+1_PFDSO0368,FIAMA Men GBB RP 125gX3+1_PFDSO0368,
PFDSO0405,FiamaGBB+(G+C) 125gx5 Celebrtn pck_PFDSO0405,FiamaGBB+(G+C) 125gx5 Celebrtn pck_PFDSO0405,
PFDSO0407,FIAMA GBB MD + Gel Creme 125gx3+1_PFDSO0407,FIAMA GBB MD + Gel Creme 125gx3+1_PFDSO0407,
PFDSO0418,Fiama FP&AC 100g(75g+25g)33%Extra_PFDSO0418,Fiama FP&AC 100g(75g+25g)33%Extra_PFDSO0418,
PFDSO0438,Fiama GBB P&A 125gX3+RelaxHW 150ml_PFDSO0438,Fiama GBB P&A 125gX3+RelaxHW 150ml_PFDSO0438,
PFDSO0439,Fiama GBB B&B 125gX3+RelaxHW 150ml_PFDSO0439,Fiama GBB B&B 125gX3+RelaxHW 150ml_PFDSO0439,
PNMFC0035,Nimyle FloorCleaner Herbal475ml-NP_PNMFC0035,Nimyle FloorCleaner Herbal475ml-NP_PNMFC0035,
PNMFC0036,Nimyle FloorCleaner Herbal 1ltr-S_PNMFC0036,Nimyle FloorCleaner Herbal 1ltr-S_PNMFC0036,
PNMFC0052,Nimyle FC Herbal 200ml_PNMFC0052,Nimyle FC Herbal 200ml_PNMFC0052,
PSVAL0008,Savlon Disinfectant Lqd 50ml_PSVAL0008,Savlon Disinfectant Lqd 50ml_PSVAL0008,
PSVAL0009,Savlon Disinfectant Lqd100ml_PSVAL0009,Savlon Disinfectant Lqd100ml_PSVAL0009,
PSVAL0010,Savlon Disinfectant Lqd1000ml_PSVAL0010,Savlon Disinfectant Lqd1000ml_PSVAL0010,
PSVAL0011,Savlon Disinfectant Lqd 500ml_PSVAL0011,Savlon Disinfectant Lqd 500ml_PSVAL0011,
PSVAL0012,Savlon Disinfectant Lqd 200ml_PSVAL0012,Savlon Disinfectant Lqd 200ml_PSVAL0012,
PSVHS0006,Savlon Gel HandSanitizer 55ml-Tray_PSVHS0006,Savlon Gel HandSanitizer 55ml-Tray_PSVHS0006,
PSVHW0075,Savlon HS 200ml+185ml Combo24-NC_PSVHW0075,Savlon HS 200ml+185ml Combo24-NC_PSVHW0075,
PSVHW0076,Savlon MS 200ml+185ml Combo24-NC_PSVHW0076,Savlon MS 200ml+185ml Combo24-NC_PSVHW0076,
PSVHW0096,Savlon Deep Clean 200ml+185mlCmb24_PSVHW0096,Savlon Deep Clean 200ml+185mlCmb24_PSVHW0096,
PSVHW0108,Savlon Herb Sen 750ml Pch POP-NC_PSVHW0108,Savlon Herb Sen 750ml Pch POP-NC_PSVHW0108,
PSVHW0109,Savlon Moist Shld 750ml Pch POP-NC_PSVHW0109,Savlon Moist Shld 750ml Pch POP-NC_PSVHW0109,
PSVHW0152,Savlon Moisture Shield 80ml CB-NC_PSVHW0152,Savlon Moisture Shield 80ml CB-NC_PSVHW0152,
PSVHW0177,Savlon Deep Clean 200ml-POP_PSVHW0177,Savlon Deep Clean 200ml-POP_PSVHW0177,
PSVHW0178,Savlon HS 200ml-POP_PSVHW0178,Savlon HS 200ml-POP_PSVHW0178,
PSVHW0179,Savlon MS 200ml-POP_PSVHW0179,Savlon MS 200ml-POP_PSVHW0179,
PSVSO0045,Savlon Fresh+Protect Soap 45g_PSVSO0045,Savlon Fresh+Protect Soap 45g_PSVSO0045,
PSVTA0022,STS CologneCool 150g+Eng 18.4ml Fr_PSVTA0022,STS CologneCool 150g+Eng 18.4ml Fr_PSVTA0022,
PVVSO0368,Vivel Aloe Vera 100Gms_PVVSO0368,Vivel Aloe Vera 100Gms_PVVSO0368,
PVVSO0626,Vivel Lotus Oil 51Gms_PVVSO0626,Vivel Lotus Oil 51Gms_PVVSO0626,
